
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 226, Time: 1.14926, Systemstep: 0.000615234

Begin Step 227, Time: 1.14987, Systemstep: 0.000615234

Begin Step 228, Time: 1.15049, Systemstep: 0.000615234

Begin Step 229, Time: 1.1511, Systemstep: 0.000615234

Begin Step 230, Time: 1.15172, Systemstep: 0.000615234

Begin Step 231, Time: 1.15233, Systemstep: 0.000615234

Begin Step 232, Time: 1.15295, Systemstep: 0.000615234

Begin Step 233, Time: 1.15356, Systemstep: 0.000615234

Begin Step 234, Time: 1.15418, Systemstep: 0.000615234

Begin Step 235, Time: 1.15479, Systemstep: 0.000615234

Begin Step 236, Time: 1.15541, Systemstep: 0.000615234

Begin Step 237, Time: 1.15603, Systemstep: 0.000615234

Begin Step 238, Time: 1.15664, Systemstep: 0.000615234

Begin Step 239, Time: 1.15726, Systemstep: 0.000615234

Begin Step 240, Time: 1.15787, Systemstep: 0.000615234

Begin Step 241, Time: 1.15849, Systemstep: 0.000615234

Begin Step 242, Time: 1.1591, Systemstep: 0.000615234

Begin Step 243, Time: 1.15972, Systemstep: 0.000615234

Begin Step 244, Time: 1.16033, Systemstep: 0.000615234

Begin Step 245, Time: 1.16095, Systemstep: 0.000615234

Begin Step 246, Time: 1.16156, Systemstep: 0.000615234

Begin Step 247, Time: 1.16218, Systemstep: 0.000615234

Begin Step 248, Time: 1.16279, Systemstep: 0.000615234

Begin Step 249, Time: 1.16341, Systemstep: 0.000615234

Begin Step 250, Time: 1.16402, Systemstep: 0.000615234

Begin Step 251, Time: 1.16464, Systemstep: 0.000615234

Begin Step 252, Time: 1.16525, Systemstep: 0.000615234

Begin Step 253, Time: 1.16587, Systemstep: 0.000615234

Begin Step 254, Time: 1.16648, Systemstep: 0.000615234

Begin Step 255, Time: 1.1671, Systemstep: 0.000615234

Begin Step 256, Time: 1.16771, Systemstep: 0.000615234

Begin Step 257, Time: 1.16833, Systemstep: 0.000615234

Begin Step 258, Time: 1.16895, Systemstep: 0.000615234

Begin Step 259, Time: 1.16956, Systemstep: 0.000615234

Begin Step 260, Time: 1.17018, Systemstep: 0.000615234

Begin Step 261, Time: 1.17079, Systemstep: 0.000615234

Begin Step 262, Time: 1.17141, Systemstep: 0.000615234

Begin Step 263, Time: 1.17202, Systemstep: 0.000615234

Begin Step 264, Time: 1.17264, Systemstep: 0.000615234

Begin Step 265, Time: 1.17325, Systemstep: 0.000615234

Begin Step 266, Time: 1.17387, Systemstep: 0.000615234

Begin Step 267, Time: 1.17448, Systemstep: 0.000615234

Begin Step 268, Time: 1.1751, Systemstep: 0.000615234

Begin Step 269, Time: 1.17571, Systemstep: 0.000615234

Begin Step 270, Time: 1.17633, Systemstep: 0.000615234

Begin Step 271, Time: 1.17694, Systemstep: 0.000615234

Begin Step 272, Time: 1.17756, Systemstep: 0.000615234

Begin Step 273, Time: 1.17817, Systemstep: 0.000615234

Begin Step 274, Time: 1.17879, Systemstep: 0.000615234

Begin Step 275, Time: 1.1794, Systemstep: 0.000615234

Begin Step 276, Time: 1.18002, Systemstep: 0.000615234

Begin Step 277, Time: 1.18063, Systemstep: 0.000615234

Begin Step 278, Time: 1.18125, Systemstep: 0.000615234

Begin Step 279, Time: 1.18187, Systemstep: 0.000615234

Begin Step 280, Time: 1.18248, Systemstep: 0.000615234

Begin Step 281, Time: 1.1831, Systemstep: 0.000615234

Begin Step 282, Time: 1.18371, Systemstep: 0.000615234

Begin Step 283, Time: 1.18433, Systemstep: 0.000615234

Begin Step 284, Time: 1.18494, Systemstep: 0.000615234

Begin Step 285, Time: 1.18556, Systemstep: 0.000615234

Begin Step 286, Time: 1.18617, Systemstep: 0.000615234

Begin Step 287, Time: 1.18679, Systemstep: 0.000615234

Begin Step 288, Time: 1.1874, Systemstep: 0.000615234

Begin Step 289, Time: 1.18802, Systemstep: 0.000615234

Begin Step 290, Time: 1.18863, Systemstep: 0.000615234

Begin Step 291, Time: 1.18925, Systemstep: 0.000615234

Begin Step 292, Time: 1.18986, Systemstep: 0.000615234

Begin Step 293, Time: 1.19048, Systemstep: 0.000615234

Begin Step 294, Time: 1.19109, Systemstep: 0.000615234

Begin Step 295, Time: 1.19171, Systemstep: 0.000615234

Begin Step 296, Time: 1.19232, Systemstep: 0.000615234

Begin Step 297, Time: 1.19294, Systemstep: 0.000615234

Begin Step 298, Time: 1.19355, Systemstep: 0.000615234

